타임스탬프,나이 (숫자로 입력),성별,흡연 경험이 있으신가요?,담배꽁초를 '무단투기’ 해본 적이 있으신가요? ,"'일주일'에 평균 '몇 번' 담배꽁초를 무단투기하십니까? 
비흡연자는 '0'으로 입력",1. 나는 평소 '긍정적인’ 사람이다.,2. 나는 '환경보호 의식'을 갖고 있다.,3. 담배꽁초 무단투기 지점에 '쓰레기통이 부족' 하다고 느낀다.,4. 흡연 부스를 늘려야 한다고 생각한다.,"5. 들고 다닐 수 있는 조그만 휴대용 재떨이를 제공받을 수 있다면, 사용하실 의향이 있으신가요?",6. 아이디어 담배꽁초 수거함(➡꽁초픽)을 설치하면 담배꽁초를 꽁초픽에 버릴 것이다. [아래 사진 참고],7. 나는 쓰레기 무단투기 상습 지역에 화단을 설치하면 긍정적인 효과가 있을 것이라고 생각한다.,8. 나는 무단투기 '캠페인 활동'을 강화해야 한다고 생각한다., 9. 담배꽁초 상습 투기지역에 '청소를 강화'해야 한다고 생각한다.,10. 담배꽁초 무단 투기에 대한 '처벌을 더욱 강화'해야 한다고 생각한다.,11. 담배 '가격이 지금의 2배'가 된다면 담배를 끊거나 줄일 것이다.,12. 소비자가격에 담배꽁초에 관한 보증금을 포함하고 '담배꽁초를 반환할 시 보증금'을 받을 수 있는 제도를 시행하면 효과가 있을 것이다.,[서술형1] 담배꽁초 무단 투기의 중대한 원인은 무엇이라고 생각하십니까?,[서술형2] 동두천 발전을 위해 가장 시급히 해결해야 할 문제를 작성해 주세요.,"[서술형3] 체험 내용, 진행 방식 등에서 인상 깊었던 점이나 개선이 필요한 점이 있다면 말씀해 주세요."
2024. 5. 20 오후 9:06:51,17,남성,전혀 없다.,단 한 번도 없다.,0,5,5,5,5,5,6,3,7,6,7,6,5,사람들의 기본인식이 낮아서,사람들의 기본개념(아무런 생각없이 상대방에게 막말을 한다든가 등) 다시 바로 잡아야한다.,.
2024. 5. 25 오전 10:54:17,37,남자,한 번이라도 있다.,한 번이라도 있다.,1,6,3,6,5,7,5,5,6,6,6,4,4,시민의식,동두천 시민들이 생각하는 동두천시 발전 가능에 대한 인식 개선,로봇이 거리에 따라 힘을 조절해서 종이컵에 공을 넣는 체험이 창의적이었다.
2024. 5. 25 오전 11:22:09,17,여자,한 번도 없다.,한 번도 없다.,0,6,6,7,7,7,7,5,7,6,7,7,6,쓰레기통이나 꽁초 수거함이 근처에 별로 없어서.,꽁초 수거함을 많이 설치하기.,"코딩에 따라 로봇이 쓰레기(공)을 통에 잘 넣거나, 안 넣는 모습이 인상깊었다."
2024. 5. 25 오전 11:22:29,17,여자,한 번도 없다.,한 번도 없다.,0,7,5,6,7,7,7,3,7,4,6,5,5,담배를 길거리에서 피기 때문에 버릴 쓰레기통이 없어서,흡연부스 부족문제,로봇을 이용하여 긍정적인 사람과 부정적인 사람에 차이를 보여줘서 신기하고 새로워서 인상깊었다
2024. 5. 25 오전 11:22:37,17,남자,한 번도 없다.,한 번도 없다.,0,3,5,7,7,6,7,5,7,7,7,7,7,귀찮음의 정도,"재떨이,흡연부스 설치",코딩으로 거리를 설정하여 전하고자 하는 바를 전달하였다.
2024. 5. 25 오전 11:58:22,17,남자,한 번도 없다.,한 번이라도 있다.,0,7,5,7,4,7,6,7,7,4,4,7,3,몰라,김대원,없음
2024. 5. 25 오후 12:25:17,33,남자,한 번이라도 있다.,한 번도 없다.,0,4,6,3,3,5,7,7,6,7,7,7,1,"과태료, 시민의식","모르겠음, 젊은 사람 유입",없음
2024. 5. 25 오후 12:29:03,17,여자,한 번도 없다.,한 번도 없다.,0,5,5,6,4,1,3,2,4,3,7,4,2,쓰레기통 부족,쓰레기통 늘리기,로봇을 사용한 점이 인상깊음
2024. 5. 25 오후 12:29:14,17,여자,한 번도 없다.,한 번도 없다.,0,3,6,6,5,6,7,1,6,3,7,7,6,개념부족,인프라설치,같은 위치인데 하나의 로봇만 들어가는게 신기하다
2024. 5. 25 오후 12:29:33,14,남자,한 번도 없다.,한 번도 없다.,0,6,5,4,5,6,6,6,7,7,7,7,7,사람들은 귀찷아서,담배 금지 법을 만들어야함,궨찷았다
2024. 5. 25 오후 12:38:39,17,남자,한 번도 없다.,한 번도 없다.,0,7,7,7,7,1,7,5,7,7,7,7,7,주변에 쓰레기통 부족으로 인한 투기가 이유이다,모르겠다,개선할 필요 없음
2024. 5. 25 오후 12:41:50,17,남자,한 번도 없다.,한 번도 없다.,0,7,7,7,7,1,7,1,7,7,7,7,7,피고 아무곳에다 버리는게 편하니까,학교예산,정훈이 친절했어요
2024. 5. 25 오후 12:44:53,5,남자,한 번도 없다.,한 번도 없다.,0,6,4,5,3,1,7,6,7,7,7,7,5,휴지통 부족,소아과 종합병원 생겨야 한다.,없다
2024. 5. 25 오후 12:47:34,9,남자,한 번도 없다.,한 번도 없다.,0,6,7,1,1,6,7,1,7,7,5,5,6,.,담배를 끊어야  한다,로봇
2024. 5. 25 오후 12:50:40,17,여자,한 번도 없다.,한 번도 없다.,0,5,5,7,7,4,6,4,5,5,5,7,4,쓰레기통부족,담배꽁초무단투기줄이기,좋았어요
2024. 5. 25 오후 12:50:59,17,여자,한 번도 없다.,한 번도 없다.,0,7,7,5,4,3,4,7,7,6,6,7,7,버릴곳이 마땅치 않아서,놀거리 부족,음료슈 주는게 짱
