구분,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기",시설안전·화재예방,교통단속,교통정보수집·분석,기타다른법령
종로구,1729,1360,41,109,0,110,109,0,0
중구,2001,1180,75,165,62,62,290,8,159
용산구,2383,1740,164,154,0,0,252,0,73
성동구,3515,2834,0,177,151,15,338,0,0
광진구,2556,2011,301,98,71,5,70,0,0
동대문,2315,1682,282,174,28,1,134,0,14
중랑구,3285,2872,141,141,11,54,66,0,0
성북구,3754,2489,400,192,359,108,183,23,0
강북구,2462,1831,319,187,0,32,93,0,0
도봉구,1356,747,188,135,119,77,90,0,0
노원구,2282,1245,260,402,127,111,137,0,0
은평구,3660,2335,697,399,0,123,106,0,0
서대문,2939,1846,132,521,0,91,317,0,32
마포구,2401,1918,192,158,0,0,133,0,0
양천구,3307,2103,768,265,0,0,171,0,0
강서구,2437,1949,215,155,27,0,91,0,0
구로구,4075,2501,540,384,30,119,257,0,244
금천구,2365,1758,271,174,44,0,118,0,0
영등포,3773,2758,264,175,53,7,516,0,0
동작구,2262,1615,394,127,19,59,43,0,5
관악구,4909,3226,417,282,157,642,185,0,0
서초구,3730,2232,332,170,0,215,781,0,0
강남구,6645,4525,775,496,0,104,593,0,152
송파구,2743,1518,311,543,0,77,294,0,0
강동구,2547,2084,232,159,0,0,72,0,0
